Altium Designer Pick and Place Locations
C:\Users\amaslyczyk\Documents\general-use-boards\PCB_F2838_Node\Outputs\REV1.1\Pick Place\Pick Place for PCB_F2838_Node(REV1.1).csv

========================================================================================================================
File Design Information:

Date:       21/12/21
Time:       12:18
Revision:   f553a027cf994b251945c5461286fe2e9c2d752a
Variant:    REV1.1
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C113","GRM155R71C104JA88D","TopLayer","CAPC1005X03N(0402)","249.000","490.000","270","CAP CER 0.1UF 16V X7R 0402"
"Y1","ECS-2520S33-250-FN-TR","TopLayer","XTAL_ECS-2520S","135.374","463.130","180","Oscillator XO 25MHz ±10ppm 15pF HCMOS 55% 3.3V 4-Pin Mini-CSMD T/R"
"R88","RCS04020000Z0ED","BottomLayer","0402","421.000","2185.039","90","VISHAY - RCS04020000Z0ED - SMD Chip Resistor, 0402 [1005 Metric], 0 ohm, RCS Series, 50 V, Thick Film, 200 mW"
"R11","RCS04020000Z0ED","TopLayer","0402","1016.000","2171.000","270","VISHAY - RCS04020000Z0ED - SMD Chip Resistor, 0402 [1005 Metric], 0 ohm, RCS Series, 50 V, Thick Film, 200 mW"
"X9","FIDUCIAL","BottomLayer","FIDUCIAL","807.087","129.921","180",""
"R13","RCS04020000Z0ED","TopLayer","0402","700.787","1759.842","90","VISHAY - RCS04020000Z0ED - SMD Chip Resistor, 0402 [1005 Metric], 0 ohm, RCS Series, 50 V, Thick Film, 200 mW"
"R39","CRCW04022K20JNED","TopLayer","0402","169.291","1181.102","180","Vishay CRCW Series Thick Film Resistor 0402 Case 2.2k 5% 0.063W 200ppm/K"
"C40","GRM155R71C104JA88D","TopLayer","CAPC1005X03N(0402)","1133.858","1240.158","90","CAP CER 0.1UF 16V X7R 0402"
"U4","CAT24C16HU4I-GT3","TopLayer","UDFN8-EP","1064.961","1389.567","270","EEPROM Serial-2Wire 16K-bit 2K x 8 1.8V/2.5V/3.3V/5V Automotive 8-Pin UDFN EP T/R"
"R36","RC0402FR-074K75L","TopLayer","RESC1005X06N(0402)","1082.677","1240.158","270","RES SMD 4.75K OHM 1% 1/16W 0402"
"R35","RC0402FR-074K75L","TopLayer","RESC1005X06N(0402)","1035.433","1240.158","270","RES SMD 4.75K OHM 1% 1/16W 0402"
"TR3","ALT4532M-201-T001","BottomLayer","ALT4532M_LAN_Transformer","515.748","1417.323","90","Telecom Transformer 1CT:1CT 6 Terminal SMD"
"TR4","ALT4532M-201-T001","BottomLayer","ALT4532M_LAN_Transformer","334.646","1417.323","90","Telecom Transformer 1CT:1CT 6 Terminal SMD"
"R37","RC0402FR-0710KL","TopLayer","RESC1005X06N(0402)","988.189","1220.472","90","RES SMD 10K OHM 1% 1/16W 0402"
"R41","CRCW04022K20JNED","TopLayer","0402","169.291","1141.732","180","Vishay CRCW Series Thick Film Resistor 0402 Case 2.2k 5% 0.063W 200ppm/K"
"R60","CRCW04022K20JNED","TopLayer","0402","371.766","929.134","90","Vishay CRCW Series Thick Film Resistor 0402 Case 2.2k 5% 0.063W 200ppm/K"
"R64","CRCW04022K20JNED","TopLayer","0402","547.244","929.134","90","Vishay CRCW Series Thick Film Resistor 0402 Case 2.2k 5% 0.063W 200ppm/K"
"R63","CRCW04022K20JNED","TopLayer","0402","503.374","929.134","90","Vishay CRCW Series Thick Film Resistor 0402 Case 2.2k 5% 0.063W 200ppm/K"
"R62","CRCW04022K20JNED","TopLayer","0402","459.505","929.134","90","Vishay CRCW Series Thick Film Resistor 0402 Case 2.2k 5% 0.063W 200ppm/K"
"R61","CRCW04022K20JNED","TopLayer","0402","415.635","929.134","90","Vishay CRCW Series Thick Film Resistor 0402 Case 2.2k 5% 0.063W 200ppm/K"
"R57","CRCW04022K20JNED","TopLayer","0402","244.095","929.134","90","Vishay CRCW Series Thick Film Resistor 0402 Case 2.2k 5% 0.063W 200ppm/K"
"R19","CRCW0402470RJNED","TopLayer","0402","551.181","1457.870","90","Vishay CRCW Series Thick Film Resistor 0402 Case 470 5% 0.063W 200ppm/K"
"R22","CRCW0402470RJNED","TopLayer","0402","511.811","1456.693","90","Vishay CRCW Series Thick Film Resistor 0402 Case 470 5% 0.063W 200ppm/K"
"R46","CRCW04022K49FKED","TopLayer","0402","154.000","966.000","180","VISHAY - CRCW04022K49FKED - Chipwiderstand, Oberflächenmontage, Dickschicht, 0402 [Metrisch 1005], 2.49 kohm, Baureihe CRCW"
"R27","CRCW040275R0FKEDC","TopLayer","RESC1005X06N(0402)","385.827","1354.331","90","RES SMD 75 OHM 1% 1/16W 0402"
"R28","CRCW040275R0FKEDC","TopLayer","RESC1005X06N(0402)","574.803","1354.331","270","RES SMD 75 OHM 1% 1/16W 0402"
"R38","RC0402FR-0710KL","TopLayer","RESC1005X06N(0402)","526.988","1228.347","0","RES SMD 10K OHM 1% 1/16W 0402"
"R42","CRCW04022K20JNED","TopLayer","0402","645.669","1141.732","180","Vishay CRCW Series Thick Film Resistor 0402 Case 2.2k 5% 0.063W 200ppm/K"
"R92","CRCW040249R9FKED","BottomLayer","RESC1005X06N(0402)","464.567","1216.535","90","RES SMD 49.9 OHM 1% 1/16W 0402"
"R93","CRCW040249R9FKED","BottomLayer","RESC1005X06N(0402)","429.134","1216.535","90","RES SMD 49.9 OHM 1% 1/16W 0402"
"R59","CRCW04022K20JNED","TopLayer","0402","322.835","929.134","270","Vishay CRCW Series Thick Film Resistor 0402 Case 2.2k 5% 0.063W 200ppm/K"
"R58","CRCW04022K20JNED","TopLayer","0402","284.027","929.134","270","Vishay CRCW Series Thick Film Resistor 0402 Case 2.2k 5% 0.063W 200ppm/K"
"R95","CRCW04024K87FKED","BottomLayer","0402","334.646","1224.409","0","Res Thick Film 0402 4.87K Ohm 1% 1/16W 100ppm/C Molded SMD SMD Paper T/R"
"R31","CRCW040249R9FKED","TopLayer","RESC1005X06N(0402)","322.835","1307.087","0","RES SMD 49.9 OHM 1% 1/16W 0402"
"R33","CRCW040249R9FKED","TopLayer","RESC1005X06N(0402)","322.835","1275.591","0","RES SMD 49.9 OHM 1% 1/16W 0402"
"L6","DLW21HN900SQ2L","BottomLayer","FP-DLW21HN-MFG","551.181","1590.551","90","MURATA - DLW21HN900SQ2L - Filter, Common Mode, 90 ohm, 0.33 A, DLW21H Series, 2 mm x 1.2 mm x 0.9 mm"
